name,M_b,V_obs,V_pred,ratio,dex,nsigma
WLM,74000000.0,38.0,32.96024867751675,0.8673749651978092,0.06179311692711177,1.259937830620812
DDO 154,300000000.0,49.0,46.76951469200371,0.9544798916735451,0.02023321659164367,0.7434951026654298
