claim,value,target,units,metric,gate,verdict
1. Newton excluded at deep regime (s=10 kAU),1.7309681288383358,1.2,dimensionless,"gamma_ESD(10 kAU, 1.5 Msun) = 1.731",> 1.2,PASS
2. ESD reproduces MOND simple-nu,0.007417188095857343,0.0,max rel. diff,max|γ_ESD - γ_MOND|/γ_MOND over 1-14 kAU,<= 5%,PASS
3. h-blindness of γ_g (Thm 1 via a_0),0.0,0.0,dimensionless per h,γ_g(10 kAU) = 1.7310,<= 1e-20,PASS
4a. Chae 2023 intermediate (s <= 10 kAU),2.1238513096825717,0.0,max |resid|/σ,max over 5 bins of |γ_ESD - γ_obs|/σ in 1-10 kAU,<= 3.0σ,PASS
4b. Chae 2023 deep regime (s > 10 kAU),7.7093744804292,0.0,max |resid|/σ,max over deep bin(s) of |γ_ESD - γ_obs|/σ (known MOND tension),<= 10.0σ,PASS
