claim,value,target,verdict
1. R(u) at BH horizon (30 Msun) <= 1e-12,2.916270893865139e-35,1e-12,PASS
2. ESD inherits Kerr vanishing-Love-number: |k2_ESD| <= 1e-12,0.0,1e-12,PASS
3. Lambda_BH = 0 inside all tidal-deformability 90% CL bounds,2/2,2/2,PASS
4. h-blind |dR| at horizon <= 1e-6,1.4335473882601145e-35,1e-06,PASS
