reading,eta10,DH_pred,Yp_pred,DH_obs,Yp_obs,DH_nsigma,Yp_nsigma
primary,6.117090217722879,2.544125775643501e-05,0.247086879429688,2.527e-05,0.2453,0.5708591881166997,0.5255527734376467
closure-pool,6.215633818520713,2.479976712309578e-05,0.24709867833959992,2.527e-05,0.2453,1.5674429230140665,0.5290230410588028
