z,mu_ESD,mu_LCDM_Planck,abs_delta_mag
0.01,33.258541980213664,33.25854094590245,1.0343112109012509e-06
0.1,38.3961374474174,38.396127181871016,1.0265546386278857e-05
0.5,42.332916835160525,42.332869784406945,4.705075357946953e-05
1.0,44.16371600629133,44.163636333638934,7.967265239727794e-05
1.5,45.247229887747565,45.24712941656535,0.00010047118221478968
2.0,46.01189296723483,46.01177888159111,0.00011408564371606644
