claim,value,target,verdict
1. R(u) at BH horizon (62 Msun) <= 1e-12,9.439438090998141e-35,1e-12,PASS
2. ESD no-hair: scalar amplitude = scalar charge = 0 (bound <= 1e-12),9.439438090998141e-35,1e-12,PASS
3. ESD scalar amplitude 0 inside all polarization/mode search bounds,3/3,3/3,PASS
4. no confirmed (>=5 sigma) scalar mode / non-tensorial detection,0.0 sigma,< 5 sigma,PASS
5. h-blind |dR| at horizon <= 1e-6,4.6401319748655676e-35,1e-06,PASS
