label,sigma_obs,sigma_obs_err,sigma_N_pub,sigma_MOND_noEFE_pub,sigma_MOND_EFE_pub,enh_ESD_noEFE,enh_MOND_simple,sigma_ESD_noEFE,sigma_ESD_EFE,sigma_noEFE_tension,sigma_EFE_tension,EFE_improvement
NGC 1052-DF2,7.8,1.7,7.0,20.0,9.0,2.250965989080266,2.2549746127263557,15.756761923561863,11.333235617535323,4.680448190330508,2.078373892667837,2.25197603128213
NGC 1052-DF4,4.2,1.4,6.0,18.0,8.0,2.084043372682855,2.0872755131280427,12.504260236097132,9.870638152467755,5.931614454355095,4.050455823191254,1.4644313413796777
