obs,value
g_photon (m/s2),109049975965.2531
R(u) photon,3.3032615048217364e-33
f220 pred (Hz),249.84797087463457
f220 obs (Hz),251.5
tau220 pred (ms),4.03467997589502
tau220 obs (ms),4.0
