label,theta_obs_muas,theta_err_muas,theta_GR_muas,theta_ESD_muas,rel_ESD_vs_GR,R_at_photon_sphere,sigma_obs_vs_ESD,h_blindness,reference
M87*,42.0,3.0,39.69832412874159,39.69832412874159,0.0,3.3286343605241515e-21,0.76722529041947,0.0,EHT Collaboration 2019 (ApJL 875 L1)
Sgr A*,51.79999999999999,2.3,51.507039472690025,51.507039472690025,0.0,2.257056808203351e-26,0.12737414230868363,0.0,EHT Collaboration 2022 (ApJL 930 L12)
